Category,Type,Subcategory,Mechanical Property Data Source(s),Name,Treatment or temper,"Ultimate Tensile Strength
(psi)","Ultimate Yield Strength
(psi)","Ultimate Tensile Strength
(Mpa)","Ultimate Yield Strength
(Mpa)",Elongation (%),"Reduction in Cross Sectional Area
(%)",Brinell Hardness,"Izod Impact Stength
(Ft-lb)","Izod Impact Stength
(N-m)","Ultimate Shearing Strength
(ksi)","Ultimate Shearing Strength
(Mpa)","Endurance limit
(ksi)","Endurance limit
(MPa)"
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1015,As-rolled,"61,000","45,500",420.58,313.71,39,61,126,81.5,110.51,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1015,Normalized (1700F),"61,500","47,000",424.03,324.05,37,69.6,121,85.2,115.53,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1015,Annealed (1600F),"56,000","41,250",386.11,284.41,37,69.7,111,84.8,114.99,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1020,As-rolled,"65,000","48,000",448.16,330.95,36,59,143,64,86.78,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1020,Normalized (1600 F),"64,000","50,250",441.26,346.46,35.8,67.9,131,86.8,117.7,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1020,Annealed (1600 F),"57,250","42,750",394.73,294.75,36.5,66,111,91,123.4,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1022,As-rolled,"73,000","52,000",503.32,358.53,35,67,149,60,81.36,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1022,Normalized (1700F),"70,000","52,000",482.63,358.53,34,67.5,143,86.5,117.29,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1022,Annealed (1600F),"65,250","46,000",449.88,317.16,35,63.6,137,89,120.68,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1030,As-rolled,"80,000","50,000",551.58,344.74,32,57,179,55,74.58,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1030,Normalized (1700F(,"75,000","50,000",517.11,344.74,32,60.8,149,69,93.56,,,,
Metal,Steel,Carbon and Alloy Steels,"Machinery's Handbook 27th edition, Pg. 466",1030,Annealed (1550F),"67,250","49,500",463.67,341.29,31.2,57.9,126,51.2,69.43,,,,
