Category,Type,Subcategory,Sub-Subcategory,Mechanical Property Data Source(s),Name,Treatment or Temper,Treatment Temperature (F),Treatment Temperature (C),Minimum Ultimate Tensile Strength (psi),Maximum Ultimate Tensile Strength (psi),Ultimate Tensile Strength (psi),Minimum Yield Strength (psi),Maximum Yield Strength (psi),Yield Strength (psi),Minimum Ultimate Tensile Strength (MPa),Maximum Ultimate Tensile Strength (MPa),Ultimate Tensile Strength (MPa),Minimum Yield Strength (MPa),Maximum Yield Strength (MPa),Yield Strength (MPa),Minimum Elongation (%),Maximum Elongation (%),Elongation (%),Reduction in Cross Sectional Area (%),Brinell Hardness,Rockwell Hardness,Izod Impact Strength (Ft-lb),Izod Impact Strength (N-m),Water Quenched?,Ultimate Shearing Strength (ksi),Ultimate Shearing Strength (Mpa),Endurance limit (ksi),Endurance limit (MPa)
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1015,As-rolled,,,,,61000.0,,,45500.0,,,420.6,,,313.7,,,39.0,61.0,126.0,,81.5,110.5,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1015,,1700,926.67,,,61500.0,,,47000.0,,,424.0,,,324.1,,,37.0,69.6,121.0,,85.2,115.5,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1015,,1600,871.11,,,56000.0,,,41250.0,,,386.1,,,284.4,,,37.0,69.7,111.0,,84.8,115.0,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1020,As-rolled,,,,,65000.0,,,48000.0,,,448.2,,,330.9,,,36.0,59.0,143.0,,64.0,86.8,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1020,Normalized,1600,871.11,,,64000.0,,,50250.0,,,441.3,,,346.5,,,35.8,67.9,131.0,,86.8,117.7,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1020,Annealed,1600,871.11,,,57250.0,,,42750.0,,,394.7,,,294.8,,,36.5,66.0,111.0,,91.0,123.4,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1022,As-rolled,,,,,73000.0,,,52000.0,,,503.3,,,358.5,,,35.0,67.0,149.0,,60.0,81.4,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1022,Normalized,1700,926.67,,,70000.0,,,52000.0,,,482.6,,,358.5,,,34.0,67.5,143.0,,86.5,117.3,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1022,Annealed,1600,871.11,,,65250.0,,,46000.0,,,449.9,,,317.2,,,35.0,63.6,137.0,,89.0,120.7,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1030,As-rolled,,,,,80000.0,,,50000.0,,,551.6,,,344.7,,,32.0,57.0,179.0,,55.0,74.6,,,,,
